,date,HomeTeam,AwayTeam
0,21.09. 01:00,Puneri Paltan,Bengaluru Bulls
1,20,15,22
2,Jaipur Pink Panthers,Gujarat FortuneGiants,-
3,UP Yoddha,Tamil Thalaivas,-
4,U Mumba,Gujarat FortuneGiants,-
5,Jaipur Pink Panthers,Bengal Warriors,-
6,Patna Pirates,Haryana Steelers,-
7,Dabang Delhi,Bengaluru Bulls,-
8,Telugu Titans,Bengal Warriors,-
9,Jaipur Pink Panthers,Puneri Paltan,-
10,Patna Pirates,Dabang Delhi,-
11,U Mumba,Bengaluru Bulls,-
12,Jaipur Pink Panthers,Telugu Titans,-
13,Haryana Steelers,UP Yoddha,-
14,Gujarat FortuneGiants,Tamil Thalaivas,-
15,Puneri Paltan,Dabang Delhi,-
16,Haryana Steelers,Gujarat FortuneGiants,-
17,Bengal Warriors,Dabang Delhi,-
18,Tamil Thalaivas,U Mumba,-
19,U Mumba,Patna Pirates,-
20,Haryana Steelers,Bengaluru Bulls,-
21,Telugu Titans,Puneri Paltan,-
22,Jaipur Pink Panthers,Bengaluru Bulls,-
23,Haryana Steelers,Telugu Titans,-
24,UP Yoddha,Dabang Delhi,-
25,Gujarat FortuneGiants,Patna Pirates,-
26,Bengal Warriors,Patna Pirates,-
27,UP Yoddha,Puneri Paltan,-
28,Telugu Titans,Gujarat FortuneGiants,-
29,Tamil Thalaivas,Jaipur Pink Panthers,-
30,Bengal Warriors,Tamil Thalaivas,-
31,UP Yoddha,Telugu Titans,-
32,U Mumba,Haryana Steelers,-
33,Dabang Delhi,U Mumba,-
34,UP Yoddha,Bengaluru Bulls,-
